# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
chromosome conformation-based evidence	ECO:0000232	A type of experimental evidence that is based on a five-step technique of cross-linking DNA in vivo, restriction digestion, intramolecular ligation, reversing DNA cross-links, DNA processing, and quantitation that serves to analyze the spatial organization of chromatin in a cell and quantify the number of interactions between genomic loci that are nearby in 3-D space.	3C|chromosome conformation capture|chromosome conformation capture-based evidence
3C evidence	ECO:0000233	A type of chromosome conformation-based evidence that is derived by 1) quantifying interactions between a single pair of genomic loci and not multiple interactions and 2) performing polymerase chain reaction (PCR) in the final product quantitation step.	3C|chromosome conformation capture evidence|chromosome conformation capture-PCR evidence
4C evidence	ECO:0000234	A type of chromosome conformation-based evidence that is derived by inverse polymerase chain reaction (inverse PCR) on a prior circularized 3C library followed by product quantitation with a microarray.	chromosome conformation capture on chip|circularized 3C|circularized chromosome conformation capture evidence
5C evidence	ECO:0000235	A type of chromosome conformation-based evidence that is derived by performing ligation-mediated amplification (LMA) prior to product quantitation.	5C|carbon-copy 3C|carbon-copy chromosome conformation capture evidence
chromosome conformation capture-PCR evidence	ECO:0000236	A type of chromosome conformation capture evidence that is derived by performing polymerase chain reaction (PCR) in the quantitation step.	3C|3C-PCR
3C-qPCR evidence	ECO:0000237	A type of 3C evidence evidence that 1) quantifies interactions between a single pair of genomic loci (not multiple interactions) and 2) performs quantitative polymerase chain reaction (qPCR) in the quantitation step.	3C-quantitative PCR|3C-real-time PCR|chromosome conformation capture-qPCR evidence
Hi-C evidence	ECO:0000238	A type of chromosome conformation-based evidence that is derived by performing immunoprecipitation enrichment of the biotin labelled ligated fragments events prior to sequencing of the library and mapping it to the genome.	
3C-seq evidence	ECO:0000239	A type of chromosome conformation-based evidence that is derived by inverse polymerase chain reaction (inverse PCR) on a circularized 3C library prior to product quantitation with multiplexed high-throughput (HT) sequencing.	3C sequencing|chromosome conformation capture sequencing evidence|circularized 3C sequencing|circularized 3C-seq
anatomical perturbation phenotypic evidence	ECO:0000240	A type of experimental phenotypic evidence resulting from the disruption of a structural feature.	anatomical perturbation evidence
environmental perturbation phenotypic evidence	ECO:0000241	A type of experimental phenotypic evidence resulting from modification to the surroundings or conditions in which an organism lives or operates.	environmental perturbation evidence|mechanical constraint evidence
tissue ablation phenotypic evidence	ECO:0000242	A type of anatomical perturbation phenotypic evidence resulting from the surgical removal of tissue or subcellular components.	ablated tissue evidence|tissue ablation evidence
tissue grafting phenotypic evidence	ECO:0000243	A type of anatomical perturbation phenotypic evidence resulting from the addition of tissue to an organism through a graft procedure.	tissue grafting evidence
combinatorial evidence used in manual assertion	ECO:0000244	A type of combinatorial analysis that is used in a manual assertion.	inferred from in-silico analysis
automatically integrated combinatorial evidence used in manual assertion	ECO:0000245	A type of automatically integrated combinatorial evidence that is used in a manual assertion.	computational combinatorial evidence used in manual assertion|inferred from reviewed computational analysis|RCA
computational combinatorial evidence used in automatic assertion	ECO:0000246	A type of computational combinatorial analysis that is used in an automatic assertion.	
sequence alignment evidence used in manual assertion	ECO:0000247	A type of sequence alignment evidence that is used in a manual assertion.	inferred from sequence alignment|ISA
sequence alignment evidence used in automatic assertion	ECO:0000248	A type of sequence alignment evidence that is used in an automatic assertion.	
sequence similarity evidence used in automatic assertion	ECO:0000249	A type of sequence similarity evidence that is used in an automatic assertion.	
sequence similarity evidence used in manual assertion	ECO:0000250	A type of sequence similarity evidence that is used in a manual assertion.	inferred from sequence or structural similarity|ISS
similarity evidence used in automatic assertion	ECO:0000251	A type of similarity evidence that is used in an automatic assertion.	inferred from similarity|IS
